CÓD. IBGE,MUNICIPIO ,RRAS,REGIÃO DE SAÚDE,DRS
351380,DIADEMA,RRAS 1 , Grande ABC, Grande São Paulo
352940,MAUÁ,RRAS 1 , Grande ABC, Grande São Paulo
354330,RIBEIRÃO PIRES,RRAS 1 , Grande ABC, Grande São Paulo
354410,RIO GRANDE DA SERRA,RRAS 1 , Grande ABC, Grande São Paulo
354780,SANTO ANDRÉ,RRAS 1 , Grande ABC, Grande São Paulo
354870,SÃO BERNARDO DO CAMPO,RRAS 1 , Grande ABC, Grande São Paulo
354880,SÃO CAETANO DO SUL,RRAS 1 , Grande ABC, Grande São Paulo
350010,ADAMANTINA,RRAS 10 , Adamantina, Marília
351600,FLÓRIDA PAULISTA,RRAS 10 , Adamantina, Marília
352080,INÚBIA PAULISTA,RRAS 10 , Adamantina, Marília
352740,LUCÉLIA,RRAS 10 , Adamantina, Marília
352890,MARIÁPOLIS,RRAS 10 , Adamantina, Marília
353460,OSVALDO CRUZ,RRAS 10 , Adamantina, Marília
353490,PACAEMBU,RRAS 10 , Adamantina, Marília
354085,PRACINHA,RRAS 10 , Adamantina, Marília
354470,SAGRES,RRAS 10 , Adamantina, Marília
354510,SALMOURÃO,RRAS 10 , Adamantina, Marília
350400,ASSIS,RRAS 10 , Assis, Marília
350720,BORÁ,RRAS 10 , Assis, Marília
351000,CÂNDIDO MOTA,RRAS 10 , Assis, Marília
351330,CRUZÁLIA,RRAS 10 , Assis, Marília
351610,FLORÍNIA,RRAS 10 , Assis, Marília
352790,LUTÉCIA,RRAS 10 , Assis, Marília
352880,MARACAÍ,RRAS 10 , Assis, Marília
353530,PALMITAL,RRAS 10 , Assis, Marília
353550,PARAGUAÇU PAULISTA,RRAS 10 , Assis, Marília
353715,PEDRINHAS PAULISTA,RRAS 10 , Assis, Marília
353970,PLATINA,RRAS 10 , Assis, Marília
355395,TARUMÃ,RRAS 10 , Assis, Marília
350140,ÁLVARO DE CARVALHO,RRAS 10 , Marília, Marília
350150,ALVINLÂNDIA,RRAS 10 , Marília, Marília
350980,CAMPOS NOVOS PAULISTA,RRAS 10 , Marília, Marília
351470,ECHAPORÃ,RRAS 10 , Marília, Marília
351565,FERNÃO,RRAS 10 , Marília, Marília
351660,GÁLIA,RRAS 10 , Marília, Marília
351670,GARÇA,RRAS 10 , Marília, Marília
351730,GUAIMBÊ,RRAS 10 , Marília, Marília
351810,GUARANTÃ,RRAS 10 , Marília, Marília
352580,JÚLIO MESQUITA,RRAS 10 , Marília, Marília
352780,LUPÉRCIO,RRAS 10 , Marília, Marília
352900,MARÍLIA,RRAS 10 , Marília, Marília
353370,OCAUÇU,RRAS 10 , Marília, Marília
353410,ORIENTE,RRAS 10 , Marília, Marília
353450,OSCAR BRESSANE,RRAS 10 , Marília, Marília
354000,POMPÉIA,RRAS 10 , Marília, Marília
354200,QUINTANA,RRAS 10 , Marília, Marília
355550,UBIRAJARA,RRAS 10 , Marília, Marília
355660,VERA CRUZ,RRAS 10 , Marília, Marília
350630,BERNARDINO DE CAMPOS,RRAS 10 , Ourinhos, Marília
351015,CANITAR,RRAS 10 , Ourinhos, Marília
355720,CHAVANTES,RRAS 10 , Ourinhos, Marília
351519,ESPÍRITO SANTO DO TURVO,RRAS 10 , Ourinhos, Marília
351950,IBIRAREMA,RRAS 10 , Ourinhos, Marília
352090,IPAUSSU,RRAS 10 , Ourinhos, Marília
353380,ÓLEO,RRAS 10 , Ourinhos, Marília
353470,OURINHOS,RRAS 10 , Ourinhos, Marília
354320,RIBEIRÃO DO SUL,RRAS 10 , Ourinhos, Marília
354540,SALTO GRANDE,RRAS 10 , Ourinhos, Marília
354640,SANTA CRUZ DO RIO PARDO,RRAS 10 , Ourinhos, Marília
355050,SÃO PEDRO DO TURVO,RRAS 10 , Ourinhos, Marília
355460,TIMBURI,RRAS 10 , Ourinhos, Marília
350335,ARCO-ÍRIS,RRAS 10 , Tupã, Marília
350580,BASTOS,RRAS 10 , Tupã, Marília
351900,HERCULÂNDIA,RRAS 10 , Tupã, Marília
351920,IACRI,RRAS 10 , Tupã, Marília
353600,PARAPUÃ,RRAS 10 , Tupã, Marília
354180,QUEIROZ,RRAS 10 , Tupã, Marília
354380,RINÓPOLIS,RRAS 10 , Tupã, Marília
355500,TUPÃ,RRAS 10 , Tupã, Marília
351440,DRACENA,RRAS 11 , Alta Paulista, Presidente Prudente
351580,FLORA RICA,RRAS 11 , Alta Paulista, Presidente Prudente
352160,IRAPURU,RRAS 11 , Alta Paulista, Presidente Prudente
352600,JUNQUEIRÓPOLIS,RRAS 11 , Alta Paulista, Presidente Prudente
353160,MONTE CASTELO,RRAS 11 , Alta Paulista, Presidente Prudente
353310,NOVA GUATAPORANGA,RRAS 11 , Alta Paulista, Presidente Prudente
353480,OURO VERDE,RRAS 11 , Alta Paulista, Presidente Prudente
353540,PANORAMA,RRAS 11 , Alta Paulista, Presidente Prudente
353640,PAULICÉIA,RRAS 11 , Alta Paulista, Presidente Prudente
354710,SANTA MERCEDES,RRAS 11 , Alta Paulista, Presidente Prudente
354930,SÃO JOÃO DO PAU D'ALHO,RRAS 11 , Alta Paulista, Presidente Prudente
355510,TUPI PAULISTA,RRAS 11 , Alta Paulista, Presidente Prudente
350080,ALFREDO MARCONDES,RRAS 11 , Alta Sorocabana, Presidente Prudente
350130,ÁLVARES MACHADO,RRAS 11 , Alta Sorocabana, Presidente Prudente
350240,ANHUMAS,RRAS 11 , Alta Sorocabana, Presidente Prudente
350890,CAIABU,RRAS 11 , Alta Sorocabana, Presidente Prudente
351512,EMILIANÓPOLIS,RRAS 11 , Alta Sorocabana, Presidente Prudente
351530,ESTRELA DO NORTE,RRAS 11 , Alta Sorocabana, Presidente Prudente
352060,INDIANA,RRAS 11 , Alta Sorocabana, Presidente Prudente
352920,MARTINÓPOLIS,RRAS 11 , Alta Sorocabana, Presidente Prudente
353220,NARANDIBA,RRAS 11 , Alta Sorocabana, Presidente Prudente
353920,PIRAPOZINHO,RRAS 11 , Alta Sorocabana, Presidente Prudente
354120,PRESIDENTE BERNARDES,RRAS 11 , Alta Sorocabana, Presidente Prudente
354140,PRESIDENTE PRUDENTE,RRAS 11 , Alta Sorocabana, Presidente Prudente
354240,REGENTE FEIJÓ,RRAS 11 , Alta Sorocabana, Presidente Prudente
354323,RIBEIRÃO DOS ÍNDIOS,RRAS 11 , Alta Sorocabana, Presidente Prudente
354550,SANDOVALINA,RRAS 11 , Alta Sorocabana, Presidente Prudente
354770,SANTO ANASTÁCIO,RRAS 11 , Alta Sorocabana, Presidente Prudente
354830,SANTO EXPEDITO,RRAS 11 , Alta Sorocabana, Presidente Prudente
355290,TACIBA,RRAS 11 , Alta Sorocabana, Presidente Prudente
